dst_as,IP,mask,nexthop_AS
1267,2.21.164.0,255.255.252.0,1267
209847,2.56.118.0,255.255.255.0,9044
202371,2.56.131.0,255.255.255.0,1267
35425,5.28.56.0,255.255.248.0,20860
29050,5.43.232.0,255.255.248.0,1267
46261,5.44.255.0,255.255.255.0,20860
20860,5.77.32.0,255.255.224.0,20860
3242,5.134.120.0,255.255.248.0,1267
31034,5.182.240.0,255.255.252.0,1267
200818,5.183.108.0,255.255.255.0,1267
25693,5.253.38.0,255.255.255.0,20860
208808,31.13.210.0,255.255.255.0,1267
201602,31.187.104.0,255.255.248.0,1267
49367,31.193.188.0,255.255.255.0,1267
21176,37.114.8.0,255.255.248.0,1267
47264,37.220.104.0,255.255.248.0,20860
208621,38.101.112.0,255.255.255.0,20860
202675,38.224.108.0,255.255.255.0,1267
9044,45.86.132.0,255.255.254.0,9044
206476,45.87.64.0,255.255.252.0,1267
209902,45.139.96.0,255.255.254.0,1267
203201,45.144.60.0,255.255.252.0,1267
52030,46.16.88.0,255.255.252.0,1267
196749,46.18.136.0,255.255.248.0,1267
211501,46.33.27.0,255.255.255.0,20860
41495,46.227.200.0,255.255.248.0,20860
39719,62.177.16.0,255.255.248.0,1267
200083,62.182.16.0,255.255.248.0,20860
42515,77.73.56.0,255.255.248.0,1267
43545,77.74.104.0,255.255.248.0,20860
202803,80.64.212.0,255.255.252.0,1267
21058,80.83.160.0,255.255.255.0,1267
199324,80.83.170.0,255.255.255.0,1267
8660,80.93.64.0,255.255.240.0,1267
24880,81.27.128.0,255.255.240.0,1267
42009,91.103.176.0,255.255.248.0,20860
59622,91.207.178.0,255.255.255.0,9044
207697,91.209.97.0,255.255.255.0,1267
34691,91.233.252.0,255.255.254.0,1267
42176,92.42.80.0,255.255.252.0,1267
47178,93.188.112.0,255.255.248.0,1267
9104,95.128.153.0,255.255.255.0,1267
211096,95.156.203.0,255.255.255.0,9044
198380,134.90.240.0,255.255.248.0,1267
35691,147.78.4.0,255.255.255.0,20860
206732,149.86.228.0,255.255.252.0,1267
56488,170.62.206.0,255.255.255.0,1267
58316,185.17.104.0,255.255.254.0,1267
198349,185.19.140.0,255.255.252.0,1267
15691,185.53.68.0,255.255.252.0,1267
200700,185.93.28.0,255.255.252.0,20860
200813,185.94.160.0,255.255.252.0,1267
211175,185.95.67.0,255.255.255.0,20860
16076,185.100.252.0,255.255.252.0,1267
44749,185.126.172.0,255.255.252.0,20860
49709,185.172.180.0,255.255.252.0,1267
206078,185.180.32.0,255.255.255.0,20860
205985,185.199.48.0,255.255.255.0,1267
16004,217.29.72.0,255.255.248.0,1267
21333,217.113.208.0,255.255.240.0,1267
