dst_as,IP,mask,nexthop_AS
200436,5.42.217.0,255.255.255.0,60976
51026,5.56.132.0,255.255.255.0,25184
61173,5.182.44.0,255.255.255.0,60976
56547,5.201.172.0,255.255.254.0,60976
25184,31.14.112.0,255.255.240.0,25184
34412,31.25.90.0,255.255.255.0,60976
16322,31.214.146.0,255.255.255.0,60976
60976,31.214.168.0,255.255.248.0,60976
201691,45.146.240.0,255.255.255.0,60976
215633,62.60.141.0,255.255.255.0,25184
42907,77.245.224.0,255.255.255.0,25184
62367,87.107.134.0,255.255.254.0,25184
51460,91.217.64.0,255.255.254.0,25184
50057,91.223.146.0,255.255.255.0,25184
59623,178.239.147.0,255.255.255.0,60976
31175,185.117.204.0,255.255.255.0,25184
208555,185.126.203.0,255.255.255.0,25184
203616,185.129.80.0,255.255.254.0,25184
44889,212.16.66.0,255.255.255.0,25184
