dst_as,IP,mask,nexthop_AS
13335,1.1.1.0,255.255.255.0,9009
9583,1.6.0.0,255.255.252.0,60144
132215,1.6.136.0,255.255.255.0,60144
38091,1.11.0.0,255.255.0.0,60144
45996,1.11.92.0,255.255.254.0,60144
132203,1.12.0.0,255.255.240.0,60144
23599,1.18.123.0,255.255.255.0,60144
23600,1.18.132.0,255.255.255.0,60144
45528,1.22.3.0,255.255.255.0,60144
4837,1.24.0.0,255.248.0.0,60144
9929,1.28.41.0,255.255.255.0,60144
64050,1.32.192.0,255.255.255.0,60144
152194,1.32.205.0,255.255.255.0,60144
4775,1.37.0.0,255.255.0.0,60144
4804,1.40.0.0,255.252.0.0,60144
7474,1.44.0.0,255.255.0.0,60144
16509,1.44.96.0,255.255.255.0,50869
4538,1.51.0.0,255.255.0.0,50869
18403,1.52.0.0,255.252.0.0,60144
4809,1.71.103.0,255.255.255.0,60144
4847,1.93.0.0,255.255.0.0,60144
9845,1.176.0.0,255.255.252.0,60144
9723,1.178.2.0,255.255.254.0,60144
14618,1.178.4.0,255.255.255.0,50869
136907,1.178.32.0,255.255.240.0,60144
9313,1.178.175.0,255.255.255.0,60144
7224,1.178.192.0,255.255.254.0,50869
8075,1.186.0.0,255.255.0.0,50869
23724,1.203.94.0,255.255.255.0,60144
9526,1.209.90.0,255.255.255.0,60144
45974,1.209.199.0,255.255.255.0,60144
7562,1.222.128.0,255.255.192.0,60144
9318,1.224.0.0,255.224.0.0,60144
45370,1.224.180.0,255.255.255.0,60144
63199,1.247.4.0,255.255.255.0,50869
23576,1.255.48.0,255.255.252.0,60144
20940,2.16.0.0,255.248.0.0,50869
34164,2.16.3.0,255.255.255.0,50869
9924,2.18.16.0,255.255.254.0,60144
61580,2.21.67.0,255.255.255.0,50869
852,2.22.72.0,255.255.252.0,50869
55836,2.22.176.0,255.255.240.0,60144
15830,2.56.0.0,255.255.252.0,60144
40676,2.56.8.0,255.255.255.0,50869
9009,2.56.16.0,255.255.252.0,9009
3758,2.56.56.0,255.255.252.0,60144
51561,2.56.84.0,255.255.252.0,9009
210079,2.56.88.0,255.255.255.0,9009
206610,2.56.104.0,255.255.252.0,60144
205463,2.56.108.0,255.255.255.0,60144
58061,2.56.112.0,255.255.255.0,50869
397373,2.56.114.0,255.255.254.0,50869
209847,2.56.118.0,255.255.255.0,50869
48031,2.56.136.0,255.255.255.0,60144
49505,2.56.138.0,255.255.255.0,50869
142594,2.56.166.0,255.255.255.0,20326
43309,2.56.168.0,255.255.255.0,60144
62240,2.56.188.0,255.255.252.0,50869
36224,2.56.200.0,255.255.255.0,50869
41960,2.56.216.0,255.255.252.0,50869
199524,2.56.220.0,255.255.255.0,60144
203020,2.56.228.0,255.255.252.0,50869
203446,2.56.246.0,255.255.255.0,60144
262287,2.56.249.0,255.255.255.0,50869
40065,2.56.255.0,255.255.255.0,60144
43641,2.57.20.0,255.255.254.0,60144
29802,2.57.22.0,255.255.255.0,50869
61317,2.57.23.0,255.255.255.0,50869
47583,2.57.88.0,255.255.254.0,50869
30337,2.57.92.0,255.255.252.0,60144
41798,2.57.96.0,255.255.255.0,50869
42473,2.57.104.0,255.255.255.0,60144
39568,2.57.149.0,255.255.255.0,50869
396356,2.57.168.0,255.255.255.0,50869
41564,2.57.169.0,255.255.255.0,50869
197522,2.57.204.0,255.255.252.0,60144
57043,2.57.242.0,255.255.255.0,60144
213279,2.57.252.0,255.255.255.0,34927
50340,2.58.68.0,255.255.252.0,50869
49581,2.58.113.0,255.255.255.0,50869
197537,2.58.115.0,255.255.255.0,60144
24864,2.58.144.0,255.255.254.0,9009
5065,2.58.168.0,255.255.255.0,60144
136557,2.58.170.0,255.255.255.0,50869
209181,2.58.192.0,255.255.252.0,60144
152586,2.58.200.0,255.255.255.0,50869
50581,2.58.204.0,255.255.252.0,9009
210063,2.58.212.0,255.255.255.0,60144
213527,2.58.214.0,255.255.255.0,50869
133334,2.58.228.0,255.255.252.0,60144
9678,2.58.240.0,255.255.255.0,60144
42425,2.59.4.0,255.255.255.0,60144
9123,2.59.40.0,255.255.255.0,9009
48266,2.59.61.0,255.255.255.0,60144
63023,2.59.62.0,255.255.255.0,50869
132839,2.59.100.0,255.255.252.0,60144
212219,2.59.119.0,255.255.255.0,34927
58212,2.59.132.0,255.255.252.0,60144
8368,2.59.136.0,255.255.252.0,9009
