dst_as,IP,mask,nexthop_AS
23969,1.0.128.0,255.255.128.0,6939
13335,1.1.1.0,255.255.255.0,5405
9583,1.6.0.0,255.255.252.0,5405
132215,1.6.136.0,255.255.255.0,5405
4788,1.9.0.0,255.255.0.0,6939
38091,1.11.0.0,255.255.0.0,6939
45996,1.11.92.0,255.255.254.0,6939
132203,1.12.0.0,255.255.240.0,7713
23599,1.18.123.0,255.255.255.0,6939
23600,1.18.132.0,255.255.255.0,6939
45528,1.22.3.0,255.255.255.0,5405
4837,1.24.0.0,255.248.0.0,6939
9929,1.28.41.0,255.255.255.0,6939
64050,1.32.192.0,255.255.255.0,6939
152194,1.32.205.0,255.255.255.0,6939
2514,1.33.0.0,255.255.0.0,7713
4775,1.37.0.0,255.255.0.0,6939
4804,1.40.0.0,255.252.0.0,5405
7474,1.44.0.0,255.255.0.0,5405
16509,1.44.96.0,255.255.255.0,6939
4134,1.48.0.0,255.254.0.0,6939
4538,1.51.0.0,255.255.0.0,6939
18403,1.52.0.0,255.252.0.0,6939
9605,1.66.20.0,255.255.252.0,7713
4809,1.71.103.0,255.255.255.0,6939
4847,1.93.0.0,255.255.0.0,6939
4766,1.96.0.0,255.252.0.0,6939
9845,1.176.0.0,255.255.252.0,6939
9723,1.178.2.0,255.255.254.0,6939
14618,1.178.4.0,255.255.255.0,6939
136907,1.178.32.0,255.255.240.0,7713
12975,1.178.112.0,255.255.240.0,6939
9313,1.178.175.0,255.255.255.0,6939
7224,1.178.192.0,255.255.254.0,6939
131293,1.179.128.0,255.255.192.0,6939
8075,1.186.0.0,255.255.0.0,6939
139018,1.193.146.0,255.255.254.0,6939
9286,1.201.0.0,255.255.192.0,6939
23724,1.203.94.0,255.255.255.0,6939
9526,1.209.90.0,255.255.255.0,6939
45974,1.209.199.0,255.255.255.0,6939
7562,1.222.128.0,255.255.192.0,6939
38661,1.222.222.0,255.255.255.0,6939
9318,1.224.0.0,255.224.0.0,6939
45370,1.224.180.0,255.255.255.0,6939
63199,1.247.4.0,255.255.255.0,6939
23576,1.255.48.0,255.255.252.0,6939
20940,2.16.0.0,255.248.0.0,7713
34164,2.16.3.0,255.255.255.0,7713
12874,2.16.17.0,255.255.255.0,6939
12389,2.16.20.0,255.255.255.0,6939
8966,2.16.44.0,255.255.255.0,6939
8697,2.17.24.0,255.255.252.0,6939
32787,2.17.108.0,255.255.252.0,7713
9924,2.18.16.0,255.255.254.0,6939
52374,2.20.46.0,255.255.255.0,22356
61580,2.21.67.0,255.255.255.0,22356
37457,2.21.160.0,255.255.252.0,6939
852,2.22.72.0,255.255.252.0,6939
55836,2.22.176.0,255.255.240.0,5405
12400,2.22.233.0,255.255.255.0,6939
200612,2.23.168.0,255.255.252.0,6939
5384,2.48.0.0,255.252.0.0,6939
15830,2.56.0.0,255.255.252.0,7713
40676,2.56.8.0,255.255.255.0,6939
213373,2.56.10.0,255.255.255.0,6939
9009,2.56.16.0,255.255.252.0,6939
3758,2.56.56.0,255.255.252.0,5405
209216,2.56.76.0,255.255.252.0,6939
42929,2.56.80.0,255.255.252.0,4455
51561,2.56.84.0,255.255.252.0,5405
210079,2.56.88.0,255.255.255.0,6939
216139,2.56.90.0,255.255.255.0,6939
30058,2.56.101.0,255.255.255.0,6939
29066,2.56.102.0,255.255.255.0,6939
206610,2.56.104.0,255.255.252.0,6939
205463,2.56.108.0,255.255.255.0,7713
58061,2.56.112.0,255.255.255.0,6939
397373,2.56.114.0,255.255.254.0,6939
209847,2.56.118.0,255.255.255.0,6939
202371,2.56.131.0,255.255.255.0,6939
48031,2.56.136.0,255.255.255.0,5405
49505,2.56.138.0,255.255.255.0,6939
212238,2.56.148.0,255.255.255.0,7713
12453,2.56.160.0,255.255.252.0,6939
142594,2.56.166.0,255.255.255.0,7713
49870,2.56.167.0,255.255.255.0,6939
43309,2.56.168.0,255.255.255.0,6939
8315,2.56.171.0,255.255.255.0,5405
33993,2.56.178.0,255.255.255.0,6939
31566,2.56.180.0,255.255.252.0,6939
62240,2.56.188.0,255.255.252.0,6939
36224,2.56.200.0,255.255.255.0,22356
39560,2.56.208.0,255.255.252.0,6939
202448,2.56.212.0,255.255.255.0,6939
41960,2.56.216.0,255.255.252.0,49544
199524,2.56.220.0,255.255.255.0,7713
21221,2.56.226.0,255.255.254.0,6939
203020,2.56.228.0,255.255.252.0,7713
43140,2.56.232.0,255.255.252.0,5405
198610,2.56.240.0,255.255.254.0,6939
213250,2.56.245.0,255.255.255.0,5405
203446,2.56.246.0,255.255.255.0,7713
262287,2.56.249.0,255.255.255.0,22356
204170,2.56.253.0,255.255.255.0,6939
40065,2.56.255.0,255.255.255.0,6939
204861,2.57.4.0,255.255.252.0,6939
205384,2.57.10.0,255.255.254.0,6939
43641,2.57.20.0,255.255.254.0,6939
29802,2.57.22.0,255.255.255.0,6939
61317,2.57.23.0,255.255.255.0,6939
50782,2.57.48.0,255.255.252.0,6939
47583,2.57.88.0,255.255.254.0,5405
30337,2.57.92.0,255.255.252.0,6939
41798,2.57.96.0,255.255.255.0,6939
42473,2.57.104.0,255.255.255.0,7713
201893,2.57.132.0,255.255.252.0,5405
43424,2.57.140.0,255.255.252.0,4455
39568,2.57.149.0,255.255.255.0,6939
396356,2.57.168.0,255.255.255.0,22356
41564,2.57.169.0,255.255.255.0,6939
25273,2.57.172.0,255.255.252.0,7713
197522,2.57.204.0,255.255.252.0,5405
209062,2.57.208.0,255.255.254.0,5405
57032,2.57.239.0,255.255.255.0,5405
57043,2.57.242.0,255.255.255.0,5405
213279,2.57.252.0,255.255.255.0,5405
24875,2.58.21.0,255.255.255.0,5405
202204,2.58.24.0,255.255.252.0,7713
203779,2.58.24.0,255.255.254.0,7713
13213,2.58.29.0,255.255.255.0,6939
9119,2.58.48.0,255.255.252.0,6939
200462,2.58.52.0,255.255.254.0,5405
50340,2.58.68.0,255.255.252.0,6939
34295,2.58.92.0,255.255.255.0,6939
209185,2.58.112.0,255.255.255.0,6939
49581,2.58.113.0,255.255.255.0,5405
197537,2.58.115.0,255.255.255.0,7713
15605,2.58.128.0,255.255.252.0,6939
42013,2.58.132.0,255.255.252.0,6939
24864,2.58.144.0,255.255.254.0,8218
5065,2.58.168.0,255.255.255.0,6939
136557,2.58.170.0,255.255.255.0,7713
209181,2.58.192.0,255.255.252.0,7713
52073,2.58.198.0,255.255.255.0,6939
