dst_as,IP,mask,nexthop_AS
13335,1.1.1.0,255.255.255.0,3462
9583,1.6.0.0,255.255.252.0,9505
132215,1.6.136.0,255.255.255.0,9505
38091,1.11.0.0,255.255.0.0,9505
45996,1.11.92.0,255.255.254.0,9505
132203,1.12.0.0,255.255.240.0,9505
23599,1.18.123.0,255.255.255.0,9505
23600,1.18.132.0,255.255.255.0,9505
45528,1.22.3.0,255.255.255.0,9505
4837,1.24.0.0,255.248.0.0,9505
9929,1.28.41.0,255.255.255.0,9505
64050,1.32.192.0,255.255.255.0,3462
152194,1.32.205.0,255.255.255.0,3462
3462,1.34.0.0,255.254.0.0,3462
4775,1.37.0.0,255.255.0.0,9505
4804,1.40.0.0,255.252.0.0,9505
7474,1.44.0.0,255.255.0.0,9505
16509,1.44.96.0,255.255.255.0,3462
4538,1.51.0.0,255.255.0.0,9505
18403,1.52.0.0,255.252.0.0,3462
4809,1.71.103.0,255.255.255.0,9505
4847,1.93.0.0,255.255.0.0,9505
9845,1.176.0.0,255.255.252.0,9505
9723,1.178.2.0,255.255.254.0,9505
14618,1.178.4.0,255.255.255.0,3462
136907,1.178.32.0,255.255.240.0,3462
9313,1.178.175.0,255.255.255.0,9505
7224,1.178.192.0,255.255.254.0,3462
8075,1.186.0.0,255.255.0.0,3462
23724,1.203.94.0,255.255.255.0,9505
9526,1.209.90.0,255.255.255.0,9505
45974,1.209.199.0,255.255.255.0,9505
7562,1.222.128.0,255.255.192.0,9505
9318,1.224.0.0,255.224.0.0,9505
45370,1.224.180.0,255.255.255.0,9505
63199,1.247.4.0,255.255.255.0,9505
23576,1.255.48.0,255.255.252.0,9505
20940,2.16.0.0,255.248.0.0,3462
34164,2.16.3.0,255.255.255.0,3462
9924,2.18.16.0,255.255.254.0,9924
52374,2.20.46.0,255.255.255.0,9505
61580,2.21.67.0,255.255.255.0,9505
37457,2.21.160.0,255.255.252.0,9505
852,2.22.72.0,255.255.252.0,3462
55836,2.22.176.0,255.255.240.0,9505
15830,2.56.0.0,255.255.252.0,3462
40676,2.56.8.0,255.255.255.0,9505
3758,2.56.56.0,255.255.252.0,9505
51561,2.56.84.0,255.255.252.0,3462
30058,2.56.101.0,255.255.255.0,9505
206610,2.56.104.0,255.255.252.0,3462
205463,2.56.108.0,255.255.255.0,3462
58061,2.56.112.0,255.255.255.0,9505
397373,2.56.114.0,255.255.254.0,3462
209847,2.56.118.0,255.255.255.0,3462
48031,2.56.136.0,255.255.255.0,3462
49505,2.56.138.0,255.255.255.0,9505
142594,2.56.166.0,255.255.255.0,9505
43309,2.56.168.0,255.255.255.0,3462
62240,2.56.188.0,255.255.252.0,3462
36224,2.56.200.0,255.255.255.0,9505
41960,2.56.216.0,255.255.252.0,3462
199524,2.56.220.0,255.255.255.0,3462
203020,2.56.228.0,255.255.252.0,3462
203446,2.56.246.0,255.255.255.0,3462
262287,2.56.249.0,255.255.255.0,9505
40065,2.56.255.0,255.255.255.0,9505
43641,2.57.20.0,255.255.254.0,9505
29802,2.57.22.0,255.255.255.0,3462
61317,2.57.23.0,255.255.255.0,3462
47583,2.57.88.0,255.255.254.0,3462
30337,2.57.92.0,255.255.252.0,9505
