dst_as,IP,mask,nexthop_AS
209847,2.56.118.0,255.255.255.0,39120
15605,2.58.128.0,255.255.252.0,15605
59919,2.59.140.0,255.255.252.0,59919
39120,5.56.8.0,255.255.252.0,39120
212271,5.59.248.0,255.255.248.0,39120
56550,31.14.28.0,255.255.255.0,56550
45015,37.99.248.0,255.255.248.0,39120
22359,69.161.210.0,255.255.254.0,39120
39479,78.26.127.0,255.255.255.0,50877
198128,78.159.200.0,255.255.252.0,39120
8660,80.93.64.0,255.255.240.0,8660
57142,86.107.30.0,255.255.255.0,39120
63293,102.132.112.0,255.255.255.0,39120
57111,149.100.180.0,255.255.252.0,57111
50877,159.255.128.0,255.255.248.0,50877
24796,185.33.108.0,255.255.254.0,39120
49709,185.172.180.0,255.255.252.0,49709
212686,185.206.8.0,255.255.255.0,50877
211482,185.217.28.0,255.255.255.0,15605
197000,193.0.8.0,255.255.254.0,39120
200311,194.60.212.0,255.255.255.0,39120
5392,195.36.0.0,255.255.192.0,50877
